age, education, marital, race, occupation 
<48,  Bachelors, *, *,  Adm-clerical
<58,  Bachelors, *, *,  Exec-managerial
<48,  HS-grad, *, *,  Handlers-cleaners
<58,  11th, *, *,  Handlers-cleaners
<38,  Bachelors, *, *,  Prof-specialty
<38,  Masters, *, *,  Exec-managerial
<58,  9th, *, *,  Other-service
<58,  HS-grad, *, *,  Exec-managerial
<38,  Masters, *, *,  Prof-specialty
<48,  Bachelors, *, *,  Exec-managerial
<38,  Some-college, *, *,  Exec-managerial
<38,  Bachelors, *, *,  Prof-specialty
<28,  Bachelors, *, *,  Adm-clerical
<38,  Assoc-acdm, *, *,  Sales
<48,  Assoc-voc, *, *,  Craft-repair
<38,  7th-8th, *, *,  Transport-moving
<28,  HS-grad, *, *,  Farming-fishing
<38,  HS-grad, *, *,  Machine-op-inspct
<48,  11th, *, *,  Sales
<48,  Masters, *, *,  Exec-managerial
<48,  Doctorate, *, *,  Prof-specialty
<58,  HS-grad, *, *,  Other-service
<38,  9th, *, *,  Farming-fishing
<48,  11th, *, *,  Transport-moving
>=58,  HS-grad, *, *,  Tech-support
<58,  Bachelors, *, *,  Tech-support
<28,  HS-grad, *, *,  Craft-repair
<58,  Some-college, *, *,  ?
<48,  HS-grad, *, *,  Exec-managerial
<58,  HS-grad, *, *,  Craft-repair
<28,  Assoc-acdm, *, *,  Protective-serv
<28,  Some-college, *, *,  Sales
<48,  Bachelors, *, *,  Exec-managerial
<38,  Some-college, *, *,  Adm-clerical
<28,  Some-college, *, *,  Other-service
<58,  11th, *, *,  Machine-op-inspct
<28,  Some-college, *, *,  Machine-op-inspct
<28,  HS-grad, *, *,  Adm-clerical
<38,  Some-college, *, *,  Sales
<58,  Assoc-acdm, *, *,  Prof-specialty
<38,  9th, *, *,  Machine-op-inspct
<58,  Bachelors, *, *,  Prof-specialty
<28,  Bachelors, *, *,  Tech-support
<58,  HS-grad, *, *,  Adm-clerical
<28,  HS-grad, *, *,  Handlers-cleaners
<58,  Bachelors, *, *,  Prof-specialty
<58,  HS-grad, *, *,  Machine-op-inspct
<48,  Masters, *, *,  Exec-managerial
<48,  Assoc-voc, *, *,  Craft-repair
<38,  Assoc-voc, *, *,  Prof-specialty
<28,  Some-college, *, *,  Exec-managerial
<28,  HS-grad, *, *,  Other-service
<48,  Prof-school, *, *,  Prof-specialty
<58,  Bachelors, *, *,  Exec-managerial
<48,  HS-grad, *, *,  Exec-managerial
<48,  Some-college, *, *,  Tech-support
<48,  5th-6th, *, *,  Machine-op-inspct
<38,  Assoc-voc, *, *,  Other-service
<48,  HS-grad, *, *,  Adm-clerical
<38,  HS-grad, *, *,  Machine-op-inspct
<38,  Bachelors, *, *,  Sales
<38,  7th-8th, *, *,  ?
<58,  HS-grad, *, *,  Transport-moving
<48,  Doctorate, *, *,  Prof-specialty
<38,  Some-college, *, *,  Tech-support
<38,  HS-grad, *, *,  Craft-repair
<38,  Some-college, *, *,  Adm-clerical
<58,  HS-grad, *, *,  Adm-clerical
<58,  Some-college, *, *,  Exec-managerial
<28,  Some-college, *, *,  ?
<28,  Some-college, *, *,  Prof-specialty
<38,  Bachelors, *, *,  Sales
<38,  Bachelors, *, *,  Sales
<28,  Some-college, *, *,  Machine-op-inspct
>=58,  Some-college, *, *,  Prof-specialty
<28,  HS-grad, *, *,  Other-service
<48,  Assoc-acdm, *, *,  Adm-clerical
>=58,  10th, *, *,  ?
<28,  11th, *, *,  Other-service
<38,  7th-8th, *, *,  Farming-fishing
<28,  HS-grad, *, *,  Sales
<58,  Bachelors, *, *,  Other-service
<48,  HS-grad, *, *,  Other-service
>=58,  HS-grad, *, *,  Sales
<48,  HS-grad, *, *,  Craft-repair
<58,  HS-grad, *, *,  Sales
<58,  HS-grad, *, *,  Protective-serv
<38,  Masters, *, *,  Prof-specialty
<38,  9th, *, *,  Sales
<48,  Doctorate, *, *,  Prof-specialty
<58,  Assoc-voc, *, *,  Prof-specialty
<38,  Some-college, *, *,  Craft-repair
<38,  Some-college, *, *,  Machine-op-inspct
<38,  HS-grad, *, *,  Sales
<38,  Bachelors, *, *,  Protective-serv
<38,  Some-college, *, *,  Handlers-cleaners
<58,  Doctorate, *, *,  Prof-specialty
<38,  Some-college, *, *,  Sales
<58,  Assoc-acdm, *, *,  Exec-managerial
<38,  HS-grad, *, *,  Other-service
>=58,  Masters, *, *,  Exec-managerial
<48,  Bachelors, *, *,  Exec-managerial
<48,  Masters, *, *,  Prof-specialty
<28,  Some-college, *, *,  Tech-support
<38,  HS-grad, *, *,  Craft-repair
<38,  HS-grad, *, *,  Craft-repair
<28,  10th, *, *,  ?
<38,  11th, *, *,  Handlers-cleaners
<38,  HS-grad, *, *,  Adm-clerical
<48,  HS-grad, *, *,  Handlers-cleaners
<28,  Bachelors, *, *,  Sales
<48,  Prof-school, *, *,  Prof-specialty
<58,  HS-grad, *, *,  Other-service
<38,  Some-college, *, *,  Sales
<38,  HS-grad, *, *,  Machine-op-inspct
<58,  9th, *, *,  Handlers-cleaners
<58,  Some-college, *, *,  Sales
<58,  Assoc-voc, *, *,  Craft-repair
<58,  Some-college, *, *,  Sales
<28,  HS-grad, *, *,  Craft-repair
<28,  Some-college, *, *,  Other-service
<48,  Bachelors, *, *,  Exec-managerial
<38,  Bachelors, *, *,  Exec-managerial
<38,  Bachelors, *, *,  Prof-specialty
<28,  Some-college, *, *,  Other-service
<48,  Bachelors, *, *,  Exec-managerial
<28,  Some-college, *, *,  Adm-clerical
<38,  Assoc-acdm, *, *,  Adm-clerical
<38,  HS-grad, *, *,  ?
<48,  Some-college, *, *,  Craft-repair
<38,  Assoc-acdm, *, *,  Sales
<28,  HS-grad, *, *,  Other-service
<48,  HS-grad, *, *,  Craft-repair
<38,  Bachelors, *, *,  Sales
<48,  Assoc-acdm, *, *,  Tech-support
<48,  Masters, *, *,  Prof-specialty
<48,  HS-grad, *, *,  Craft-repair
<28,  Assoc-voc, *, *,  Adm-clerical
